"us1","us2","index","can1","can2","uk1","uk2","it1","it2","sko1","sko2","au1","au2"
74981758,226.529,152,NA,NA,11978298,176.447,4131535,68.333,1684042,32.847,NA,NA
75631379,228.492,153,NA,NA,12118924,178.519,4155026,68.721,1699085,33.14,NA,NA
76452601,230.973,154,NA,NA,12272157,180.776,4184765,69.213,1716078,33.472,NA,NA
77381670,233.78,155,NA,NA,12446595,183.346,4216934,69.745,1733373,33.809,NA,NA
78308597,236.58,156,NA,NA,12618033,185.871,4247326,70.248,1743622,34.009,NA,NA
79193269,239.253,157,NA,NA,12798368,188.527,4273957,70.689,1756427,34.259,NA,NA
79943537,241.519,158,NA,NA,12969753,191.052,4296730,71.065,1775475,34.63,NA,NA
80530268,243.292,159,NA,NA,13126236,193.357,4307634,71.246,1796711,35.045,NA,NA
81125876,245.091,160,NA,NA,13263262,195.376,4329697,71.61,1817538,35.451,NA,NA
81925197,247.506,161,NA,NA,13447568,198.09,4357027,72.062,1837006,35.831,NA,NA
82745432,249.984,162,NA,NA,NA,NA,4382656,72.486,1855283,36.187,NA,NA
83374546,251.885,163,NA,NA,NA,NA,4407524,72.898,1866149,36.399,NA,NA
83898416,253.468,164,NA,NA,NA,NA,4433461,73.327,1879813,36.666,NA,NA
